RegistryName, LocalizedName(if exist), ParentAdvancementLocalizedName
triumph:vanilla/nether/root, triumph:vanilla/nether/root, No Parent
triumph:example/example_brewed_potion, triumph:example/example_brewed_potion, triumph:example/root
triumph:vanilla/end/respawn_dragon, triumph:vanilla/end/respawn_dragon, triumph:vanilla/end/kill_dragon
triumph:vanilla/husbandry/bred_all_animals, triumph:vanilla/husbandry/bred_all_animals, triumph:vanilla/husbandry/breed_an_animal
triumph:vanilla/story/form_obsidian, triumph:vanilla/story/form_obsidian, triumph:vanilla/story/lava_bucket
triumph:vanilla/story/mine_diamond, triumph:vanilla/story/mine_diamond, triumph:vanilla/story/iron_tools
triumph:vanilla/adventure/adventuring_time, triumph:vanilla/adventure/adventuring_time, triumph:vanilla/adventure/sleep_in_bed
triumph:vanilla/recipes/brewing/fermented_spider_eye, triumph:vanilla/recipes/brewing/fermented_spider_eye, triumph:vanilla/recipes/root
triumph:vanilla/story/smelt_iron, triumph:vanilla/story/smelt_iron, triumph:vanilla/story/upgrade_tools
triumph:vanilla/end/find_end_city, triumph:vanilla/end/find_end_city, triumph:vanilla/end/enter_end_gateway
triumph:example/example_placed_block, triumph:example/example_placed_block, triumph:example/root
triumph:vanilla/husbandry/tame_an_animal, triumph:vanilla/husbandry/tame_an_animal, triumph:vanilla/husbandry/root
triumph:vanilla/story/enchant_item, triumph:vanilla/story/enchant_item, triumph:vanilla/story/mine_diamond
triumph:example/example_construct_beacon, triumph:example/example_construct_beacon, triumph:example/root
triumph:vanilla/end/levitate, triumph:vanilla/end/levitate, triumph:vanilla/end/find_end_city
triumph:vanilla/adventure/shoot_arrow, triumph:vanilla/adventure/shoot_arrow, triumph:vanilla/adventure/kill_a_mob
triumph:example/example_slept_in_bed, triumph:example/example_slept_in_bed, triumph:example/example_enter_biome
triumph:example/example_killed_entity, triumph:example/example_killed_entity, triumph:example/root
triumph:example/example_better_advancement_colors, triumph:example/example_better_advancement_colors, triumph:example/root
triumph:example/example_completed_advancement, triumph:example/example_completed_advancement, triumph:example/example_enter_dimension
triumph:vanilla/story/enter_the_nether, triumph:vanilla/story/enter_the_nether, triumph:vanilla/story/form_obsidian
triumph:vanilla/adventure/trade, triumph:vanilla/adventure/trade, triumph:vanilla/adventure/root
triumph:vanilla/adventure/summon_iron_golem, triumph:vanilla/adventure/summon_iron_golem, triumph:vanilla/adventure/trade
triumph:example/example_item_crafted, triumph:example/example_item_crafted, triumph:example/root
triumph:example/example_killed_by_entity, triumph:example/example_killed_by_entity, triumph:example/root
triumph:example/example_repeatable, triumph:example/example_repeatable, triumph:example/root
triumph:example/example_destroy_block, triumph:example/example_destroy_block, triumph:example/root
triumph:vanilla/nether/summon_wither, triumph:vanilla/nether/summon_wither, triumph:vanilla/nether/get_wither_skull
triumph:vanilla/story/mine_stone, triumph:vanilla/story/mine_stone, triumph:vanilla/story/root
triumph:vanilla/story/enter_the_end, triumph:vanilla/story/enter_the_end, triumph:vanilla/story/follow_ender_eye
triumph:example/example_recipe_unlocked, triumph:example/example_recipe_unlocked, triumph:example/root
triumph:example/immersiveengineering/example_multiblock_formed, triumph:example/immersiveengineering/example_multiblock_formed, triumph:example/root
triumph:vanilla/story/iron_tools, triumph:vanilla/story/iron_tools, triumph:vanilla/story/smelt_iron
triumph:vanilla/story/root, triumph:vanilla/story/root, No Parent
triumph:vanilla/adventure/totem_of_undying, triumph:vanilla/adventure/totem_of_undying, triumph:vanilla/adventure/kill_a_mob
triumph:example/example_break_block, triumph:example/example_break_block, triumph:example/root
triumph:vanilla/adventure/sleep_in_bed, triumph:vanilla/adventure/sleep_in_bed, triumph:vanilla/adventure/root
triumph:vanilla/husbandry/breed_an_animal, triumph:vanilla/husbandry/breed_an_animal, triumph:vanilla/husbandry/root
triumph:vanilla/nether/uneasy_alliance, triumph:vanilla/nether/uneasy_alliance, triumph:vanilla/nether/return_to_sender
triumph:vanilla/end/dragon_breath, triumph:vanilla/end/dragon_breath, triumph:vanilla/end/kill_dragon
triumph:vanilla/end/dragon_egg, triumph:vanilla/end/dragon_egg, triumph:vanilla/end/kill_dragon
