UniqueId, ModId, RegistryName, LocalizedName(if exist)
0, minecraft, minecraft:ocean, minecraft:ocean
1, minecraft, minecraft:plains, minecraft:plains
2, minecraft, minecraft:desert, minecraft:desert
3, minecraft, minecraft:extreme_hills, minecraft:extreme_hills
4, minecraft, minecraft:forest, minecraft:forest
5, minecraft, minecraft:taiga, minecraft:taiga
6, minecraft, minecraft:swampland, minecraft:swampland
7, minecraft, minecraft:river, minecraft:river
8, minecraft, minecraft:hell, minecraft:hell
9, minecraft, minecraft:sky, minecraft:sky
10, minecraft, minecraft:frozen_ocean, minecraft:frozen_ocean
11, minecraft, minecraft:frozen_river, minecraft:frozen_river
12, minecraft, minecraft:ice_flats, minecraft:ice_flats
13, minecraft, minecraft:ice_mountains, minecraft:ice_mountains
14, minecraft, minecraft:mushroom_island, minecraft:mushroom_island
15, minecraft, minecraft:mushroom_island_shore, minecraft:mushroom_island_shore
16, minecraft, minecraft:beaches, minecraft:beaches
17, minecraft, minecraft:desert_hills, minecraft:desert_hills
18, minecraft, minecraft:forest_hills, minecraft:forest_hills
19, minecraft, minecraft:taiga_hills, minecraft:taiga_hills
20, minecraft, minecraft:smaller_extreme_hills, minecraft:smaller_extreme_hills
21, minecraft, minecraft:jungle, minecraft:jungle
22, minecraft, minecraft:jungle_hills, minecraft:jungle_hills
23, minecraft, minecraft:jungle_edge, minecraft:jungle_edge
24, minecraft, minecraft:deep_ocean, minecraft:deep_ocean
25, minecraft, minecraft:stone_beach, minecraft:stone_beach
26, minecraft, minecraft:cold_beach, minecraft:cold_beach
27, minecraft, minecraft:birch_forest, minecraft:birch_forest
28, minecraft, minecraft:birch_forest_hills, minecraft:birch_forest_hills
29, minecraft, minecraft:roofed_forest, minecraft:roofed_forest
30, minecraft, minecraft:taiga_cold, minecraft:taiga_cold
31, minecraft, minecraft:taiga_cold_hills, minecraft:taiga_cold_hills
32, minecraft, minecraft:redwood_taiga, minecraft:redwood_taiga
33, minecraft, minecraft:redwood_taiga_hills, minecraft:redwood_taiga_hills
34, minecraft, minecraft:extreme_hills_with_trees, minecraft:extreme_hills_with_trees
35, minecraft, minecraft:savanna, minecraft:savanna
36, minecraft, minecraft:savanna_rock, minecraft:savanna_rock
37, minecraft, minecraft:mesa, minecraft:mesa
38, minecraft, minecraft:mesa_rock, minecraft:mesa_rock
39, minecraft, minecraft:mesa_clear_rock, minecraft:mesa_clear_rock
40, avp, avp:acheron, avp:acheron
41, avp, avp:vardabadlands, avp:vardabadlands
42, avp, avp:vardaforest, avp:vardaforest
43, nuclearcraft, nuclearcraft:nuclear_wasteland, nuclearcraft:nuclear_wasteland
44, sakura, sakura:bamboo_forest, sakura:bamboo_forest
45, sakura, sakura:maple_forest, sakura:maple_forest
46, tofucraft, tofucraft:zunda_tofuplain, tofucraft:zunda_tofuplain
47, tofucraft, tofucraft:tofuplain, tofucraft:tofuplain
48, tofucraft, tofucraft:tofubuilding, tofucraft:tofubuilding
49, tofucraft, tofucraft:tofuforest, tofucraft:tofuforest
50, tofucraft, tofucraft:tofuforest_hills, tofucraft:tofuforest_hills
51, tofucraft, tofucraft:tofuleek_plain, tofucraft:tofuleek_plain
52, tofucraft, tofucraft:tofuplain_hills, tofucraft:tofuplain_hills
53, tofucraft, tofucraft:tofuriver, tofucraft:tofuriver
127, minecraft, minecraft:void, minecraft:void
129, minecraft, minecraft:mutated_plains, minecraft:mutated_plains
130, minecraft, minecraft:mutated_desert, minecraft:mutated_desert
131, minecraft, minecraft:mutated_extreme_hills, minecraft:mutated_extreme_hills
132, minecraft, minecraft:mutated_forest, minecraft:mutated_forest
133, minecraft, minecraft:mutated_taiga, minecraft:mutated_taiga
134, minecraft, minecraft:mutated_swampland, minecraft:mutated_swampland
140, minecraft, minecraft:mutated_ice_flats, minecraft:mutated_ice_flats
149, minecraft, minecraft:mutated_jungle, minecraft:mutated_jungle
151, minecraft, minecraft:mutated_jungle_edge, minecraft:mutated_jungle_edge
155, minecraft, minecraft:mutated_birch_forest, minecraft:mutated_birch_forest
156, minecraft, minecraft:mutated_birch_forest_hills, minecraft:mutated_birch_forest_hills
157, minecraft, minecraft:mutated_roofed_forest, minecraft:mutated_roofed_forest
158, minecraft, minecraft:mutated_taiga_cold, minecraft:mutated_taiga_cold
160, minecraft, minecraft:mutated_redwood_taiga, minecraft:mutated_redwood_taiga
161, minecraft, minecraft:mutated_redwood_taiga_hills, minecraft:mutated_redwood_taiga_hills
162, minecraft, minecraft:mutated_extreme_hills_with_trees, minecraft:mutated_extreme_hills_with_trees
163, minecraft, minecraft:mutated_savanna, minecraft:mutated_savanna
164, minecraft, minecraft:mutated_savanna_rock, minecraft:mutated_savanna_rock
165, minecraft, minecraft:mutated_mesa, minecraft:mutated_mesa
166, minecraft, minecraft:mutated_mesa_rock, minecraft:mutated_mesa_rock
167, minecraft, minecraft:mutated_mesa_clear_rock, minecraft:mutated_mesa_clear_rock
#output time is 4 ms.
