UniqueId, RegistryName, ModId, UnlocalizedName, LocalizedName
0, minecraft:protection, minecraft, enchantment.protect.all, 保护
1, minecraft:fire_protection, minecraft, enchantment.protect.fire, 火焰保护
2, minecraft:feather_falling, minecraft, enchantment.protect.fall, 摔落保护
3, minecraft:blast_protection, minecraft, enchantment.protect.explosion, 爆炸保护
4, minecraft:projectile_protection, minecraft, enchantment.protect.projectile, 弹射物保护
5, minecraft:respiration, minecraft, enchantment.oxygen, 水下呼吸
6, minecraft:aqua_affinity, minecraft, enchantment.waterWorker, 水下速掘
7, minecraft:thorns, minecraft, enchantment.thorns, 荆棘
8, minecraft:depth_strider, minecraft, enchantment.waterWalker, 深海探索者
9, minecraft:frost_walker, minecraft, enchantment.frostWalker, 冰霜行者
10, minecraft:binding_curse, minecraft, enchantment.binding_curse, 绑定诅咒
11, openblocks:explosive, openblocks, enchantment.openblocks.explosive, 震荡不定
12, openblocks:last_stand, openblocks, enchantment.openblocks.laststand, 屹立不倒
13, openblocks:flim_flam, openblocks, enchantment.openblocks.flimflam, 尔虞我诈
14, tofucraft:ench_drain, tofucraft, enchantment.drain, 吸收
15, tofucraft:ench_batch, tofucraft, enchantment.batch, 范围采掘
16, minecraft:sharpness, minecraft, enchantment.damage.all, 锋利
17, minecraft:smite, minecraft, enchantment.damage.undead, 亡灵杀手
18, minecraft:bane_of_arthropods, minecraft, enchantment.damage.arthropods, 节肢杀手
19, minecraft:knockback, minecraft, enchantment.knockback, 击退
20, minecraft:fire_aspect, minecraft, enchantment.fire, 火焰附加
21, minecraft:looting, minecraft, enchantment.lootBonus, 抢夺
22, minecraft:sweeping, minecraft, enchantment.sweeping, 横扫之刃
23, bibliocraft:bibliocraft.deathcompassench, bibliocraft, 永恒罗盘, 永恒罗盘
24, bibliocraft:bibliocraft.readingench, bibliocraft, 读取, 读取
25, spartanshields:ssenchspikes, spartanshields, enchantment.spartanshields:spikes, 盾刺
26, survivalist:scraping, survivalist, enchantment.survivalist.scraping, 报废回收
27, matteroverdrive:overclock, matteroverdrive, enchantment.matteroverdrive.weapon.damage, 超频
28, cyclicmagic:enchantment.autosmelt, cyclicmagic, enchantment.autosmelt, 自动冶炼
29, cyclicmagic:enchantment.beheading, cyclicmagic, enchantment.beheading, 斩首
30, cyclicmagic:enchantment.excavation, cyclicmagic, enchantment.excavation, 连锁采掘
31, cyclicmagic:enchantment.launch, cyclicmagic, enchantment.launch, 多段跳
32, minecraft:efficiency, minecraft, enchantment.digging, 效率
33, minecraft:silk_touch, minecraft, enchantment.untouching, 精准采集
34, minecraft:unbreaking, minecraft, enchantment.durability, 耐久
35, minecraft:fortune, minecraft, enchantment.lootBonusDigger, 时运
36, cyclicmagic:enchantment.lifeleech, cyclicmagic, enchantment.lifeleech, 生命汲取
37, cyclicmagic:enchantment.magnet, cyclicmagic, enchantment.magnet, 磁引
38, cyclicmagic:enchantment.multishot, cyclicmagic, enchantment.multishot, 多重射击
39, cyclicmagic:enchantment.quickdraw, cyclicmagic, enchantment.quickdraw, 快弓
40, cyclicmagic:enchantment.reach, cyclicmagic, enchantment.reach, 范围扩展
41, cyclicmagic:enchantment.venom, cyclicmagic, enchantment.venom, 毒液
42, cyclicmagic:enchantment.waterwalking, cyclicmagic, enchantment.waterwalking, 水上行走
43, cyclicmagic:enchantment.expboost, cyclicmagic, enchantment.expboost, 经验提升
48, minecraft:power, minecraft, enchantment.arrowDamage, 力量
49, minecraft:punch, minecraft, enchantment.arrowKnockback, 冲击
50, minecraft:flame, minecraft, enchantment.arrowFire, 火矢
51, minecraft:infinity, minecraft, enchantment.arrowInfinite, 无限
61, minecraft:luck_of_the_sea, minecraft, enchantment.lootBonusFishing, 海之眷顾
62, minecraft:lure, minecraft, enchantment.fishingSpeed, 饵钓
70, minecraft:mending, minecraft, enchantment.mending, 经验修补
71, minecraft:vanishing_curse, minecraft, enchantment.vanishing_curse, 消失诅咒
#output time is 3 ms.
