RegistryName, UnlocalizedName, LocalizedName(if exist)
minecraft:item, entity.Item.name, 物品
minecraft:xp_orb, entity.XPOrb.name, 经验球
minecraft:area_effect_cloud, entity.AreaEffectCloud.name, entity.AreaEffectCloud.name
minecraft:elder_guardian, entity.ElderGuardian.name, 远古守卫者
minecraft:wither_skeleton, entity.WitherSkeleton.name, 凋灵骷髅
minecraft:stray, entity.Stray.name, 流髑
minecraft:egg, entity.ThrownEgg.name, entity.ThrownEgg.name
minecraft:leash_knot, entity.LeashKnot.name, 拴绳结
minecraft:painting, entity.Painting.name, 画
minecraft:arrow, entity.Arrow.name, 箭
minecraft:snowball, entity.Snowball.name, 雪球
minecraft:fireball, entity.Fireball.name, 火球
minecraft:small_fireball, entity.SmallFireball.name, 小火球
minecraft:ender_pearl, entity.ThrownEnderpearl.name, entity.ThrownEnderpearl.name
minecraft:eye_of_ender_signal, entity.EyeOfEnderSignal.name, entity.EyeOfEnderSignal.name
minecraft:potion, entity.ThrownPotion.name, 药水
minecraft:xp_bottle, entity.ThrownExpBottle.name, entity.ThrownExpBottle.name
minecraft:item_frame, entity.ItemFrame.name, 物品展示框
minecraft:wither_skull, entity.WitherSkull.name, entity.WitherSkull.name
minecraft:tnt, entity.PrimedTnt.name, TNT方块
minecraft:falling_block, entity.FallingSand.name, 下落的方块
minecraft:fireworks_rocket, entity.FireworksRocketEntity.name, entity.FireworksRocketEntity.name
minecraft:husk, entity.Husk.name, 尸壳
minecraft:spectral_arrow, entity.SpectralArrow.name, entity.SpectralArrow.name
minecraft:shulker_bullet, entity.ShulkerBullet.name, entity.ShulkerBullet.name
minecraft:dragon_fireball, entity.DragonFireball.name, 龙的火球
minecraft:zombie_villager, entity.ZombieVillager.name, 僵尸村民
minecraft:skeleton_horse, entity.SkeletonHorse.name, 骷髅马
minecraft:zombie_horse, entity.ZombieHorse.name, 僵尸马
minecraft:armor_stand, entity.ArmorStand.name, 盔甲架
minecraft:donkey, entity.Donkey.name, 驴
minecraft:mule, entity.Mule.name, 骡
minecraft:evocation_fangs, entity.EvocationFangs.name, entity.EvocationFangs.name
minecraft:evocation_illager, entity.EvocationIllager.name, 唤魔者
minecraft:vex, entity.Vex.name, 恼鬼
minecraft:vindication_illager, entity.VindicationIllager.name, 卫道士
minecraft:illusion_illager, entity.IllusionIllager.name, 幻术师
minecraft:commandblock_minecart, entity.MinecartCommandBlock.name, 命令方块矿车
minecraft:boat, entity.Boat.name, 船
minecraft:minecart, entity.MinecartRideable.name, 矿车
minecraft:chest_minecart, entity.MinecartChest.name, 运输矿车
minecraft:furnace_minecart, entity.MinecartFurnace.name, 动力矿车
minecraft:tnt_minecart, entity.MinecartTNT.name, TNT 矿车
minecraft:hopper_minecart, entity.MinecartHopper.name, 漏斗矿车
minecraft:spawner_minecart, entity.MinecartSpawner.name, 刷怪笼矿车
minecraft:creeper, entity.Creeper.name, 爬行者
minecraft:skeleton, entity.Skeleton.name, 骷髅
minecraft:spider, entity.Spider.name, 蜘蛛
minecraft:giant, entity.Giant.name, 巨人
minecraft:zombie, entity.Zombie.name, 僵尸
minecraft:slime, entity.Slime.name, 史莱姆
minecraft:ghast, entity.Ghast.name, 恶魂
minecraft:zombie_pigman, entity.PigZombie.name, 僵尸猪人
minecraft:enderman, entity.Enderman.name, 末影人
minecraft:cave_spider, entity.CaveSpider.name, 洞穴蜘蛛
minecraft:silverfish, entity.Silverfish.name, 蠹虫
minecraft:blaze, entity.Blaze.name, 烈焰人
minecraft:magma_cube, entity.LavaSlime.name, 岩浆怪
minecraft:ender_dragon, entity.EnderDragon.name, 末影龙
minecraft:wither, entity.WitherBoss.name, 凋灵
minecraft:bat, entity.Bat.name, 蝙蝠
minecraft:witch, entity.Witch.name, 女巫
minecraft:endermite, entity.Endermite.name, 末影螨
minecraft:guardian, entity.Guardian.name, 守卫者
minecraft:shulker, entity.Shulker.name, 潜影贝
minecraft:pig, entity.Pig.name, 猪
minecraft:sheep, entity.Sheep.name, 羊
minecraft:cow, entity.Cow.name, 牛
minecraft:chicken, entity.Chicken.name, 鸡
minecraft:squid, entity.Squid.name, 鱿鱼
minecraft:wolf, entity.Wolf.name, 狼
minecraft:mooshroom, entity.MushroomCow.name, 哞菇
minecraft:snowman, entity.SnowMan.name, 雪傀儡
minecraft:ocelot, entity.Ozelot.name, 豹猫
minecraft:villager_golem, entity.VillagerGolem.name, 铁傀儡
minecraft:horse, entity.Horse.name, 马
minecraft:rabbit, entity.Rabbit.name, 兔子
minecraft:polar_bear, entity.PolarBear.name, 北极熊
minecraft:llama, entity.Llama.name, 羊驼
minecraft:llama_spit, entity.LlamaSpit.name, entity.LlamaSpit.name
minecraft:parrot, entity.Parrot.name, 鹦鹉
minecraft:villager, entity.Villager.name, 村民
minecraft:ender_crystal, entity.EnderCrystal.name, entity.EnderCrystal.name
ic2:mining_laser, entity.MiningLaser.name, entity.MiningLaser.name
ic2:dynamite, entity.Dynamite.name, entity.Dynamite.name
ic2:sticky_dynamite, entity.StickyDynamite.name, entity.StickyDynamite.name
ic2:itnt, entity.Itnt.name, entity.Itnt.name
ic2:nuke, entity.Nuke.name, entity.Nuke.name
ic2:carbon_boat, entity.BoatCarbon.name, entity.BoatCarbon.name
ic2:rubber_boat, entity.BoatRubber.name, entity.BoatRubber.name
ic2:electric_boat, entity.BoatElectric.name, entity.BoatElectric.name
ic2:particle, entity.Particle.name, entity.Particle.name
ic2:fireproof_item, entity.FireproofItem.name, entity.FireproofItem.name
immersivepetroleum:speedboat, entity.speedboat.name, 汽艇
cyclicmagic:robot, entity.robot.name, 计数机器人
cyclicmagic:firecannon, entity.firecannon.name, entity.firecannon.name
openmodularturrets:rocketprojectile, entity.openmodularturrets:rocketProjectile.name, entity.openmodularturrets:rocketProjectile.name
openmodularturrets:grenadeprojectile, entity.openmodularturrets:grenadeProjectile.name, entity.openmodularturrets:grenadeProjectile.name
