UniqueId, UnlocalizedName, LocalizedName(if exist)
alugentum, alugentum, 熔融Alugentum
alumina, alumina, 熔融氧化铝
aluminum, aluminum, 熔融铝
amber, amber, 琥珀
americium_241, americium_241, 熔融镅-241
americium_241_fluoride, americium_241_fluoride, 熔融氟化镅-241
americium_241_fluoride_flibe, americium_241_fluoride_flibe, 熔融氟锂铍盐-氟化镅-241
americium_242, americium_242, 熔融镅-242
americium_242_fluoride, americium_242_fluoride, 熔融氟化镅-242
americium_242_fluoride_flibe, americium_242_fluoride_flibe, 熔融氟锂铍盐-氟化镅-242
americium_243, americium_243, 熔融镅-243
americium_243_fluoride, americium_243_fluoride, 熔融氟化镅-243
americium_243_fluoride_flibe, americium_243_fluoride_flibe, 熔融氟锂铍盐-氟化镅-243
ammonia, ammonia, 氨气
arsenic, arsenic, 熔融砷
atomicscience:antimatter, atomicscience:antimatter, Antimatter
atomicscience:contaminated_mineral_water, atomicscience:contaminated_mineral_water, Contaminated Mineral Solution
atomicscience:contaminated_water, atomicscience:contaminated_water, Contaminated Water
atomicscience:deuterium, atomicscience:deuterium, Deuterium
atomicscience:mineral_waste, atomicscience:mineral_waste, Contaminated Mineral Sludge
atomicscience:reactor_waste, atomicscience:reactor_waste, Reactor Waste
atomicscience:strange_matter, atomicscience:strange_matter, Strange Matter
atomicscience:uranium_hexafluoride, atomicscience:uranium_hexafluoride, Uranium Hexaflouride
bas, bas, 熔融砷化硼
bef2, bef2, 熔融氟化铍
berkelium_247, berkelium_247, 熔融锫-247
berkelium_247_fluoride, berkelium_247_fluoride, 熔融氟化锫-247
berkelium_247_fluoride_flibe, berkelium_247_fluoride_flibe, 熔融氟锂铍盐-氟化锫-247
berkelium_248, berkelium_248, 熔融锫-248
berkelium_248_fluoride, berkelium_248_fluoride, 熔融氟化锫-248
berkelium_248_fluoride_flibe, berkelium_248_fluoride_flibe, 熔融氟锂铍盐-氟化锫-248
beryllium, beryllium, 熔融铍
biodiesel, biodiesel, 生物柴油
biomass, biomass, 生物质
blackgoo, blackgoo, fluid.blackGoo
borax_solution, borax_solution, 硼砂溶液
boric_acid, boric_acid, 硼酸
boron, boron, 熔融硼
boron10, boron10, 熔融硼-10
boron11, boron11, 熔融硼-11
