UniqueId, RegistryName, ModId, UnlocalizedName, LocalizedName
0, ic2:radiation, ic2, ic2.potion.radiation, 辐射
1, minecraft:speed, minecraft, effect.moveSpeed, 速度
2, minecraft:slowness, minecraft, effect.moveSlowdown, 缓慢
3, minecraft:haste, minecraft, effect.digSpeed, 急迫
4, minecraft:mining_fatigue, minecraft, effect.digSlowDown, 挖掘疲劳
5, minecraft:strength, minecraft, effect.damageBoost, 力量
6, minecraft:instant_health, minecraft, effect.heal, 瞬间治疗
7, minecraft:instant_damage, minecraft, effect.harm, 瞬间伤害
8, minecraft:jump_boost, minecraft, effect.jump, 跳跃提升
9, minecraft:nausea, minecraft, effect.confusion, 反胃
10, minecraft:regeneration, minecraft, effect.regeneration, 生命恢复
11, minecraft:resistance, minecraft, effect.resistance, 抗性提升
12, minecraft:fire_resistance, minecraft, effect.fireResistance, 防火
13, minecraft:water_breathing, minecraft, effect.waterBreathing, 水下呼吸
14, minecraft:invisibility, minecraft, effect.invisibility, 隐身
15, minecraft:blindness, minecraft, effect.blindness, 失明
16, minecraft:night_vision, minecraft, effect.nightVision, 夜视
17, minecraft:hunger, minecraft, effect.hunger, 饥饿
18, minecraft:weakness, minecraft, effect.weakness, 虚弱
19, minecraft:poison, minecraft, effect.poison, 中毒
20, minecraft:wither, minecraft, effect.wither, 凋零
21, minecraft:health_boost, minecraft, effect.healthBoost, 生命提升
22, minecraft:absorption, minecraft, effect.absorption, 伤害吸收
23, minecraft:saturation, minecraft, effect.saturation, 饱和
24, minecraft:glowing, minecraft, effect.glowing, 发光
25, minecraft:levitation, minecraft, effect.levitation, 飘浮
26, minecraft:luck, minecraft, effect.luck, 幸运
27, minecraft:unluck, minecraft, effect.unluck, 霉运
28, birdsfoods:fullness, birdsfoods, effect.birdsfoods:fullness, 饱腹
29, immersiveengineering:flammable, immersiveengineering, immersiveengineering.potion.flammable, 易燃
30, immersiveengineering:slippery, immersiveengineering, immersiveengineering.potion.slippery, 易滑
31, immersiveengineering:conductive, immersiveengineering, immersiveengineering.potion.conductive, 导电
32, immersiveengineering:sticky, immersiveengineering, immersiveengineering.potion.sticky, 粘性
33, immersiveengineering:stunned, immersiveengineering, immersiveengineering.potion.stunned, 眩晕
34, immersiveengineering:concretefeet, immersiveengineering, immersiveengineering.potion.concreteFeet, 凝滞
35, immersiveengineering:flashed, immersiveengineering, immersiveengineering.potion.flashed, 闪光
36, mowziesmobs:suns_blessing, mowziesmobs, potion.sunsBlessing, 太阳祝福
37, mowziesmobs:geomancy, mowziesmobs, potion.geomancy, 大地祝福
38, mowziesmobs:frozen, mowziesmobs, potion.frozen, 冰冻
39, mowziesmobs:poison_resist, mowziesmobs, potion.poisonResist, 剧毒抗性
40, growthcraft_cellar:potion.tipsy, growthcraft_cellar, potion.tipsy, 微醺
41, techguns:radiation, techguns, techguns.radiation, 辐射
42, techguns:radresistance, techguns, techguns.radresistance, 辐射抵御
43, techguns:radregeneration, techguns, techguns.radregeneration, 辐射再生
44, quark:blue, quark, quark.potion.blue.name, Blueberry
45, quark:black, quark, quark.potion.black.name, Darkening
46, quark:white, quark, quark.potion.white.name, Whitening
47, quark:curse, quark, quark.potion.curse.name, 诅咒
48, quark:danger_sight, quark, quark.potion.danger_sight.name, 危险感知
49, nuclearphysics:radiation, nuclearphysics, effect.radiation, Radiation
50, cyclicmagic:potion.magnet, cyclicmagic, potion.magnet, 磁引
51, cyclicmagic:potion.ender, cyclicmagic, potion.ender, 末影光环
52, cyclicmagic:potion.waterwalk, cyclicmagic, potion.waterwalk, 水上行走
53, cyclicmagic:potion.slowfall, cyclicmagic, potion.slowfall, 缓落
54, cyclicmagic:potion.snow, cyclicmagic, potion.snow, 踏雪
55, cyclicmagic:potion.swimspeed, cyclicmagic, potion.swimspeed, 疾泳
56, cyclicmagic:potion.bounce, cyclicmagic, potion.bounce, 弹跳
57, cyclicmagic:potion.frostwalker, cyclicmagic, potion.frostwalker, 冰霜行者
58, cyclicmagic:potion.butter, cyclicmagic, potion.butter, 笨拙
59, cyclicmagic:potion.stunned, cyclicmagic, potion.stunned, potion.stunned
60, nutrition:toughness, nutrition, potion.nutrition:toughness, Toughness
61, nutrition:nourished, nutrition, potion.nutrition:nourished, Nourished
62, nutrition:malnourished, nutrition, potion.nutrition:malnourished, Malnourished
63, hungeroverhaul:wellfed, hungeroverhaul, potion.wellfed, 饱食
#output time is 2 ms.
